"PRED","STRAT","YY","LL","Nsamp","Nfull","SCIperN","sp_prey","dietprop","cperfull","elog","e_sd","meanper","lo95per","hi95per"
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"King.crab",0,0,-4.36944785246702,1.42313613392964,0.0125,0.000777386920615082,0.170781174191574
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Octopus",0,0,-4.36944785246702,1.42313613392964,0.0125,0.000777386920615082,0.170781174191574
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Opilio",0.00136654558212889,0.000608033698546139,-3.24519313318557,0.832250378576479,0.0375,0.00756669166438137,0.166036444824884
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Oth.nonfish",0.0123373576567245,0.00137235254067018,-2.0654552997051,0.500391083360534,0.1125,0.0453808687210391,0.252619735221888
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Polychaete",0.017080275872258,0.00108567632624847,-1.46633706879343,0.405095746833467,0.1875,0.0944625878588355,0.337970969489622
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Shrimp",0.343967819887479,0.00665416406735267,0.353640040243578,0.321184140479293,0.5875,0.43146392235695,0.727734968567077
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Unid.Chion",0.0973967282795151,0.00393962795324262,-0.9075570519054,0.349348309051834,0.2875,0.169063395529071,0.444520787767628
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"W.pollock",0,0,-4.36944785246702,1.42313613392964,0.0125,0.000777386920615082,0.170781174191574
"P.cod","SE_outer",2010,"[30,60)",33,32,0.0117559308576268,"Amphipods",0.173519962147583,0.002692653054201,1.09861228866811,0.39605901719067,0.75,0.579893597336234,0.867022843039801
"P.cod","SE_outer",2010,"[30,60)",33,32,0.0117559308576268,"Bairdi",0.346007655278571,0.0103255529511482,-0.417735200699979,0.350506150985902,0.397058823529412,0.248855197182128,0.566910454919919
"P.cod","SE_outer",2010,"[30,60)",33,32,0.0117559308576268,"Copepods",0,0,-4.20469261939097,1.42472830612319,0.0147058823529412,0.00091363979933622,0.1958833306786
